Terme;Lecture;Sens;Exemple; ;;
なす術もない;なすすべもない;Ne pas avoir le choix;一度は、なす術もなくその背中を見送った。;;;
あっけない;;Insatisfaisant ;彼女はいよいよとなったら，あっけなく降参した。;;;
突拍子もない;;Surprenant, extravagant;ついには突拍子もないことを言い出した。;;;
どきり;;Avoir un choc, être surpris ;その言葉に心臓がどきりと跳ねる。;;;
傍受;ぼうじゅ;Contrôler, intercepter ;居場所が割れるより傍受されるほうがリスクが高い。;;;
痙攣;けいれん;Crampe, spasme;この薬を飲むと痙攣が緩和されます。;;;
取り繕う;とりつくろう;Adoucir les choses, passer sous silence ;取り繕うように、笑ってみせる。;;;
遂行;すいこう;Accomplissement, exécution ;私たちは、あの計画を遂行しなければいけないのです。;;;
侵略;しんりゃく;Invasion, raid ;我が国を他国の侵略から守らねばならない。;;;
号令;ごうれい;Commandement, instruction ;部長の号令と共にみんなが一斉に動き出した。;;;
没収;ぼっしゅう;Confiscation, saisie ;休み中に置き勉してると没収されるんだよな。;;;
ムキになる;;Prendre au sérieux ;子供相手にムキになるなよ。;;;
渋る;しぶる;Être hésitant, peu enclin à;トムは渋っている。;;;
いまいち;;Pas parfait, en manque de;私のフランス語はいまいちだよね。;;;
優雅な;ゆうがな;Élégant, raffiné ;滞りのない、優雅な仕草でグラスに水を注ぎ込んだ。;;;
格闘;かくとう;Combat corps à corps ;トムは試験のプレッシャーと日夜格闘しました。;;;
消耗;しょうもう;Épuisement ;時間が経てば経つほど体力は消耗してゆく。;;;
克服;こくふく;Surpasser (ses erreurs);自分の弱点を克服することは難しいことではありません。;;;
陰謀;いんぼう;Complot ;彼らはこの陰謀の成功を確信していた。;;;
幾重にも;いくえにも;Encore et encore ;振り向くと、そこには無数の武装した兵が、幾重にも重なって私たちを取り囲んでいた。;;;
寡黙な;かもくな;Silencieux, taciturne, timide ;あの寡黙な先輩は何を話すのだろうか？;;;
凪ぐ;なぐ;Se calmer (poser son épée…);俺は剣を凪ぐのを止めて声のした方を向く。;;;
所詮;しょせん;"Après tout; pas (du tout), impossible ";所詮ゴブリンでしかないというのがこの世界での常識である。;;;
熟;つくづく;"Complètement; de manière approfondie; vraiment";おい熟、もう面倒だからこいつを引き取ってくれ。;;;
そそくさ;;Rapidement ;トイレを探すのを諦めて、そそくさと木の後ろにダッシュした。;;;
戦慄;せんりつ;Trembler de peur;恐ろしい光景に彼は戦慄した。;;;
砦;とりで;Forteresse, palissade ;トムとメアリーが雪の砦を作ったんだ。;;;
葛藤;かっとう;Conflit, discorde ;人は様々な想いと葛藤を抱えて生きていく。;;;
瓦礫;がれき;Débris ;校舎の跡地は瓦礫の山となっている。;;;
捲し立てる;まくし立てる;Parler encore et encore ;彼女は一気にまくしたてるように自分の思いを吐露した。;;;
機微;きび;Détails, subtilités ;女心の機微を存分に楽しめるドラマである。;;;
輪をかける;わをかける;Exagérer ;普段も人が多い広場、それに輪をかけるように、多くの人々が行き交っている。;;;
樽;たる;Baril ;ふと自分の隣に樽があることに気がつく。;;;
道々;みちみち;Sur le chemin ;彼の家から帰る道々、あたしは必死になって自分の記憶をまさぐっていた。;;;
曹長;そうちょう;Sergent major ;曹長は笑いながら手を振った。;;;
不文律;ふぶんりつ ;Loi non écrite ;そのため、長い軍の歴史の中でもこの不文律が破られたことはほとんどない。;;;
死刑;しけい;Peine capitale ;トムは死刑に処せられた。;;;
啖呵;たんか;Mots incertains ;彼女が胸がすくような啖呵を切ました。;;;
遵守;じゅんしゅ;Observer, s’astreindre à;それは間違いなく遵守させますので、ご安心下さいませ。;;;
稜線;りょうせん;Crête ;稜線を越えると一気に視界が開ける。;;;
蹂躙;じゅうりん;Violation ;人権蹂躙;;;
迂闊;うかつ;Stupide ;迂闊全万;;;
朦朧;もうろう;Vague, pas distinct ;言ったことが朦朧としていたからあまり覚えていない。;;;
あながち;;Pas nécessairement ;トムの主張もあながち見当外れではない気がする。;;;
忘我;ぼうが ;Transe;忘我の念を抱きゾクゾクと身体を震わせるのだった。;;;
